name,vuln-id,published,modified,source,severity,vuln-type,vuln-descript,cve-id,vuln-solution
Engineers Online Portal SQL注入漏洞,CNNVD-202401-013,2024-01-01,2024-01-08,,高危,SQL注入,Engineers Online Portal是开源的一个在线门户。是使用PHP、MySQL 数据库、HTML、CSS、Javascript、jQuery、Ajax、Bootstrap 和一些其他库开发的。 SourceCodester Engineers Online Portal 1.0版本存在SQL注入漏洞，该漏洞源于文件/admin/的参数username/password会导致SQL注入。,CVE-2024-0182,
RRJ Nueva Ecija Engineer Online Portal 跨站脚本漏洞,CNNVD-202401-011,2024-01-01,2024-01-08,,低危,跨站脚本,RRJ Nueva Ecija Engineer Online Portal是新加披RRJ公司的一个工程师在线门户网站。 RRJ Nueva Ecija Engineer Online Portal 1.0版本存在跨站脚本漏洞，该漏洞源于文件/admin/admin_user.php的参数Firstname/Lastname/Username会导致跨站脚本。,CVE-2024-0181,
RRJ Nueva Ecija Engineer Online Portal 跨站脚本漏洞,CNNVD-202401-015,2024-01-01,2024-01-03,,低危,跨站脚本,RRJ Nueva Ecija Engineer Online Portal是新加披RRJ公司的一个工程师在线门户网站。 RRJ Nueva Ecija Engineer Online Portal 1.0版本存在跨站脚本漏洞，该漏洞源于文件/admin/edit_teacher.php的参数Firstname/Lastname会导致跨站脚本。,CVE-2024-0184,
Ekol Informatics Website Template SQL注入漏洞,CNNVD-202401-057,2024-01-02,2024-01-09,,超危,SQL注入,Ekol Informatics Website Template是Ekol公司的一个网站模板。 Ekol Informatics Website Template 20231215及之前版本存在SQL注入漏洞，该漏洞源于不正确中和，允许进行SQL注入攻击。,CVE-2023-6436,
Gila CMS SQL注入漏洞,CNNVD-202401-084,2024-01-02,2024-01-08,,高危,SQL注入,Gila CMS是一套基于PHP和MySQL的开源内容管理系统（CMS）。 Gila CMS 1.15.4 及之前版本存在SQL注入漏洞，该漏洞源于允许远程攻击者通过登录门户后 Administration Widget 选项卡下的 Area 参数执行任意 Web 脚本。,CVE-2020-26623,
RRJ Nueva Ecija Engineer Online Portal 跨站脚本漏洞,CNNVD-202401-072,2024-01-02,2024-01-08,,中危,跨站脚本,RRJ Nueva Ecija Engineer Online Portal是新加披RRJ公司的一个工程师在线门户网站。 RRJ Nueva Ecija Engineer Online Portal 1.0版本存在跨站脚本漏洞，该漏洞源于文件add_quiz.php的参数Quiz Title/Quiz Description会导致跨站脚本。,CVE-2024-0190,
OWASP AntiSamy 跨站脚本漏洞,CNNVD-202401-069,2024-01-02,2024-01-15,,中危,跨站脚本,OWASP AntiSamy是美国OWASP基金会的一个用于HTML和CSS编码的库。 OWASP AntiSamy.NET 1.2.0之前版本存在跨站脚本漏洞，该漏洞源于存在突变跨站脚本（mXSS） 漏洞。,CVE-2023-51652,
Magic-Api 代码注入漏洞,CNNVD-202401-078,2024-01-02,2024-01-15,,高危,代码注入,magic-api是ssssssss-team开源的一个基于 Java 的接口快速开发框架。 Magic-Api 2.0.1版本及之前版本存在代码注入漏洞。攻击者利用该漏洞导致代码注入。,CVE-2024-0196,
OpenHarmony 资源管理错误漏洞,CNNVD-202401-108,2024-01-02,2024-01-08,,中危,资源管理错误,OpenHarmony是中国开放原子开源基金会（OpenAtom Foundation）基金会的一种鸿蒙操作系统的开源项目。 OpenHarmony v3.2.2 版本及之前版本存在安全漏洞，该漏洞源于多媒体相机组件指针释放后重用。,CVE-2023-47857,
Gila CMS SQL注入漏洞,CNNVD-202401-087,2024-01-02,2024-01-08,,高危,SQL注入,Gila CMS是一套基于PHP和MySQL的开源内容管理系统（CMS）。 Gila CMS 1.15.4 及之前版本存在SQL注入漏洞，该漏洞源于允许远程攻击者通过登录门户的 ID 参数执行任意 Web 脚本。,CVE-2020-26624,
Acumos Design Studio 跨站脚本漏洞,CNNVD-202401-061,2024-01-02,2024-01-15,,中危,跨站脚本,Acumos Design Studio是Acumos开源的一个平台和开源框架。可以轻松构建、共享和部署 AI 应用程序。 Acumos Design Studio 2.0.7 版本存在跨站脚本漏洞，该漏洞源于存在未知函数，导致跨站脚本。,CVE-2018-25097,
